timestamp	user_id	item_id	session_id
1442004589	0	285930	0
1442004759	0	357564	0
1442004917	0	67045	0
1438969904	2	325215	2
1438970013	2	325215	2
1438970212	2	259884	2
1438970468	2	216305	2
1438970905	2	342816	2
1438971444	2	342816	2
1438971463	2	216305	2
1438971657	2	325215	2
1440916778	6	253615	7
1440916823	6	344723	7
1440917649	6	344723	7
1440917793	6	344723	7
1431581976	7	139394	9
1431582162	7	164941	9
1439003073	37	168952	44
1439003257	37	168952	44
1439302214	37	168952	46
1439303936	37	168952	46
1439304127	37	434344	46
1441495318	51	198762	63
1441495416	51	429304	63
1441495582	51	198762	63
1441495634	51	49967	63
1442338665	54	283115	66
1442338748	54	38965	66
1442338841	54	319680	66
1442339111	54	283115	66
1430862310	55	399556	72
1430863281	55	399556	72
1431319612	58	31406	75
1431319654	58	31406	75
1434846304	60	453279	77
1434846392	60	321706	77
1434846434	60	257070	77
1434408004	64	233200	83
1434408331	64	118401	83
1434408660	64	224700	83
1434409136	64	160984	83
1434987517	65	52383	85
1434987557	65	168656	85
1434987563	65	52383	85
1434987569	65	353515	85
1433227992	74	57171	94
1433228020	74	57171	94
1433228030	74	57171	94
1435607175	75	257575	97
1435607242	75	257575	97
1435609434	75	257575	98
1435609596	75	257575	98
1435609771	75	257575	98
1436235723	75	257575	103
1436235813	75	257575	103
1436235933	75	96883	103
1437080010	75	257575	110
1437081580	75	257575	110
1435609885	76	278966	117
1435609908	76	420028	117
1435609917	76	278966	117
1441901961	81	337512	122
1441902045	81	337512	122
1442347760	86	150060	127
1442348269	86	150060	127
1436448965	89	277742	130
1436449310	89	72435	130
1438702571	94	129302	137
1438702749	94	129302	137
1438703679	94	347105	137
1434069596	95	169956	138
1434069641	95	45520	138
1436486771	97	291964	140
1436486805	97	400946	140
1436486825	97	291964	140
1436486829	97	400946	140
1436486863	97	280039	140
1436486896	97	400946	140
1437297912	97	400946	141
1437298089	97	280039	141
1441756135	100	36054	145
1441756158	100	36054	145
1441756322	100	36054	145
1441756374	100	36054	145
1439442039	105	66752	152
1439442087	105	66752	152
1439355115	108	311484	155
1439355125	108	311484	155
1439355256	108	311484	155
1437279518	111	169811	158
1437280064	111	169811	158
1434916720	149	332620	200
1434918127	149	332620	200
1433719600	150	186933	201
1433719740	150	452955	201
1433720046	150	452955	201
1439439103	155	134620	206
1439439148	155	123027	206
1439439176	155	134620	206
1440529512	155	50928	207
1440529540	155	373637	207
1433386011	162	390093	218
1433386241	162	305656	218
1433387781	162	248862	218
1433387830	162	1152	218
1431212753	165	39601	224
1431212811	165	39601	224
1438279591	169	312427	228
1438279624	169	326449	228
1438279634	169	312427	228
1438279650	169	84310	228
1436847461	172	55710	234
1436848482	172	464731	234
1436848648	172	403998	234
1436848805	172	18519	234
1436848871	172	27248	234
1436848932	172	363106	234
1436848989	172	10034	234
1436849146	172	302810	234
1436849172	172	10034	234
1436849604	172	412628	234
1436849713	172	374400	234
1436849869	172	323030	234
1436849997	172	464731	234
1436850087	172	10034	234
1436850189	172	378862	234
1436850275	172	292240	234
1436850436	172	254301	234
1436930489	172	464731	235
1436930598	172	253720	235
1436930673	172	10034	235
1436931511	172	292240	235
1436931527	172	292240	235
1436931547	172	292240	235
1436933142	172	228229	235
1439599752	172	10034	236
1439599994	172	62300	236
1439600123	172	202268	236
1439600616	172	107943	236
1439600734	172	79918	236
1439600798	172	465522	236
1439602029	172	465522	236
1439602047	172	465522	236
1442290140	177	6073	241
1442290364	177	6073	241
1439439330	184	429571	249
1439439368	184	186095	249
1431759102	213	332907	282
1431759113	213	456393	282
1436237272	216	8140	285
1436237551	216	11296	285
1436237599	216	8140	285
1440105809	219	66085	288
1440105871	219	66085	288
1438577318	224	443407	293
1438577360	224	168697	293
1438577898	224	443407	293
1438577935	224	168697	293
